Source,Target,Type,Id,Label,timeset,Weight
101,102,Directed,1001,P87,,1
102,103,Directed,1002,P2,,1
103,104,Directed,1003,-P71,,1
101,105,Directed,1004,P89,,1
105,106,Directed,1005,P2,,1
106,107,Directed,1006,-P71,,1
105,108,Directed,1007,P87,,1
101,109,Directed,1008,P2,,1
109,110,Directed,1009,-P71,,1
101,111,Directed,1010,-Q11,,1
111,112,Directed,1011,-P140,,1
112,115,Directed,1012,O9,,1
115,144,Directed,1013,-P70,,1
112,113,Directed,1014,O16,,1
113,114,Directed,1015,-P71,,1
111,116,Directed,1016,-Q10,,1
116,117,Directed,1017,-P140,,1
117,118,Directed,1018,O9,,1
118,119,Directed,1019,-P70,,1
117,120,Directed,1020,O16,,1
120,121,Directed,1021,-P71,,1
116,122,Directed,1022,Q9,,1
122,123,Directed,1023,-P71,,1
101,124,Directed,1024,P87,,1
124,125,Directed,1025,P2,,1
125,126,Directed,1026,-P70,,1
101,127,Directed,1027,P87,,1
127,128,Directed,1028,P2,,1
128,129,Directed,1029,-P71,,1
101,130,Directed,1030,P48,,1
130,131,Directed,1031,P2,,1
131,132,Directed,1032,-P70,,1
101,133,Directed,1033,P2,,1
133,134,Directed,1034,-P71,,1
150,135,Directed,1035,-P39,,1
135,136,Directed,1036,P40,,1
136,137,Directed,1037,P90,,1
136,138,Directed,1038,P91,,1
138,139,Directed,1039,-P71,,1
136,142,Directed,1040,P2,,1
142,143,Directed,1041,-P71,,1
135,140,Directed,1042,P2,,1
140,141,Directed,1043,-P71,,1
150,101,Directed,1044,P53,,1
150,1,Directed,2001,-P8,,1
1,2,Directed,2002,P4,,1
2,3,Directed,2003,P73,,1
1,4,Directed,2004,P2,,1
4,5,Directed,2005,-P71,,1
1,6,Directed,2006,P14,,1
6,7,Directed,2007,P1,,1
6,8,Directed,2008,P2,,1
8,9,Directed,2009,-P71,,1
150,10,Directed,2010,-P34,,1
10,20,Directed,2011,P35,,1
20,12,Directed,2012,-P17,,1
12,13,Directed,2013,P129,,1
13,14,Directed,2014,-P71,,1
12,15,Directed,2015,P2,,1
15,16,Directed,2016,-P71,,1
12,17,Directed,2017,-P141,,1
17,18,Directed,2018,P2,,1
18,19,Directed,2019,-P71,,1
20,21,Directed,2020,-P141,,1
21,23,Directed,2021,O9,,1
23,24,Directed,2022,-P71,,1
20,29,Directed,2023,-O14,,1
29,30,Directed,2024,P2,,1
30,31,Directed,2025,-P71,,1
29,32,Directed,2026,-P140,,1
32,33,Directed,2027,P141,,1
33,34,Directed,2028,J4,,1
34,35,Directed,2029,-P71,,1
33,36,Directed,2030,J5,,1
36,37,Directed,2031,-P71,,1
32,38,Directed,2032,P14,,1
38,39,Directed,2033,P1,,1
29,40,Directed,2034,P4,,1
40,41,Directed,2035,P82a,,1
40,42,Directed,2036,P82b,,1
40,43,Directed,2037,P81a,,1
40,44,Directed,2038,P81,,1
20,45,Directed,2039,P2,,1
45,46,Directed,2040,-P71,,1
20,47,Directed,2041,-P39,,1
47,48,Directed,2042,P2,,1
48,49,Directed,2043,-P71,,1
47,50,Directed,2044,P141,,1
50,51,Directed,2045,-P71,,1
10,52,Directed,2046,P35,,1
52,53,Directed,2047,P141,,1
53,54,Directed,2048,-P71,,1
52,55,Directed,2049,P141,,1
55,56,Directed,2050,P2,,1
56,57,Directed,2051,-P71,,1
52,58,Directed,2052,P141,,1
58,59,Directed,2053,-P71,,1
52,60,Directed,2054,P141,,1
60,61,Directed,2055,P2,,1
61,62,Directed,2056,-P71,,1
60,63,Directed,2057,P3,,1
150,64,Directed,2058,-P31,,1
64,65,Directed,2059,P2,,1
65,66,Directed,2060,-P71,,1
64,67,Directed,2061,P4,,1
67,68,Directed,2062,P78,,1
64,69,Directed,2063,P3,,1
64,70,Directed,2064,P126,,1
70,71,Directed,2065,-P71,,1
64,72,Directed,2066,P32,,1
72,73,Directed,2067,-P71,,1
72,74,Directed,2068,P3,,1
10,301,Directed,2069,YY1,,1
301,302,Directed,2070,P2,,1
302,303,Directed,2071,-P71,,1
301,304,Directed,2072,YY3,,1
304,305,Directed,2073,O13,,1
305,306,Directed,2074,P2,,1
306,307,Directed,2075,-P71,,1
304,308,Directed,2076,P2,,1
308,309,Directed,2077,-P71,,1
301,310,Directed,2078,YY2,,1
310,311,Directed,2079,P141,,1
311,312,Directed,2080,J4,,1
312,313,Directed,2081,-P71,,1
311,314,Directed,2082,J5,,1
314,315,Directed,2083,-P71,,1
310,316,Directed,2084,P14,,1
316,317,Directed,2085,P1,,1
310,318,Directed,2086,P141,,1
318,319,Directed,2087,-P71,,1
310,320,Directed,2088,P141,,1
320,321,Directed,2089,-P71,,1
310,322,Directed,2090,P141,,1
322,323,Directed,2091,-P71,,1
310,324,Directed,2092,O8,,1
324,325,Directed,2093,P2,,1
325,326,Directed,2094,-P71,,1
324,327,Directed,2095,P3,,1
301,328,Directed,2096,-P17,,1
328,329,Directed,2097,P2,,1
329,330,Directed,2098,-P71,,1
328,331,Directed,2099,-P141,,1
331,332,Directed,2100,P2,,1
332,333,Directed,2101,-P71,,1
150,201,Directed,3001,-P140,,1
201,202,Directed,3002,P3,,1
201,203,Directed,3003,P2,,1
203,204,Directed,3004,-P71,,1
150,205,Directed,3005,P104,,1
205,206,Directed,3006,-P94,,1
206,207,Directed,3007,P2,,1
207,208,Directed,3008,-P71,,1
206,209,Directed,3009,P4,,1
209,210,Directed,3010,P82b,,1
209,211,Directed,3011,P82a,,1
150,212,Directed,3012,P1,,1
212,213,Directed,3013,P2,,1
213,214,Directed,3014,-P71,,1
150,215,Directed,3015,P48,,1
215,216,Directed,3016,P2,,1
216,217,Directed,3017,-P70,,1
150,218,Directed,3018,-P92,,1
218,219,Directed,3019,-P140,,1
219,220,Directed,3020,J1,,1
220,221,Directed,3021,J4,,1
221,222,Directed,3022,-P71,,1
220,223,Directed,3023,J5,,1
223,224,Directed,3024,-P71,,1
219,225,Directed,3025,J1,,1
225,226,Directed,3026,J4,,1
226,227,Directed,3027,-P71,,1
225,228,Directed,3028,J5,,1
228,229,Directed,3029,-P71,,1
219,230,Directed,3030,P14,,1
230,231,Directed,3031,P1,,1
219,232,Directed,3032,J1,,1
232,233,Directed,3033,J4,,1
233,234,Directed,3034,-P71,,1
233,235,Directed,3035,P2,,1
235,236,Directed,3036,-P71,,1
232,237,Directed,3037,J5,,1
237,238,Directed,3038,-P71,,1
219,239,Directed,3039,P4,,1
239,240,Directed,3040,P82a,,1
239,242,Directed,3042,P82b,,1
150,244,Directed,3044,-P41,,1
244,245,Directed,3045,P2,,1
245,246,Directed,3046,-P71,,1
244,247,Directed,3047,P42,,1
247,248,Directed,3048,-P71,,1
